city,date,percentage
Amsterdam,2020-03-02,110
Amsterdam,2020-03-03,103
Amsterdam,2020-03-04,98
Amsterdam,2020-03-05,109
Amsterdam,2020-03-06,107
Amsterdam,2020-03-07,106
Amsterdam,2020-03-08,97
Amsterdam,2020-03-09,93
Amsterdam,2020-03-10,86
Amsterdam,2020-03-11,86
Amsterdam,2020-03-12,74
Amsterdam,2020-03-13,60
Amsterdam,2020-03-14,52
Amsterdam,2020-03-15,43
Amsterdam,2020-03-16,28
Amsterdam,2020-03-17,16
Amsterdam,2020-03-18,13
Amsterdam,2020-03-19,10
Amsterdam,2020-03-20,8
Amsterdam,2020-03-21,8
Amsterdam,2020-03-22,7
Amsterdam,2020-03-23,7
Amsterdam,2020-03-24,7
Amsterdam,2020-03-25,6
Amsterdam,2020-03-26,6
Amsterdam,2020-03-27,5
Amsterdam,2020-03-28,5
Amsterdam,2020-03-29,5
Amsterdam,2020-03-30,5
Amsterdam,2020-03-31,6
Amsterdam,2020-04-01,6
Amsterdam,2020-04-02,6
Amsterdam,2020-04-03,4
Amsterdam,2020-04-04,5
Amsterdam,2020-04-05,5
Amsterdam,2020-04-06,6
Amsterdam,2020-04-07,7
Amsterdam,2020-04-08,6
Amsterdam,2020-04-09,6
Amsterdam,2020-04-10,5
Amsterdam,2020-04-11,6
Amsterdam,2020-04-12,6
Amsterdam,2020-04-13,6
Amsterdam,2020-04-14,6
Amsterdam,2020-04-15,6
Amsterdam,2020-04-16,5
Amsterdam,2020-04-17,5
Amsterdam,2020-04-18,5
Amsterdam,2020-04-19,6
Amsterdam,2020-04-20,6
Amsterdam,2020-04-21,7
Amsterdam,2020-04-22,7
Amsterdam,2020-04-23,7
Amsterdam,2020-04-24,6
Amsterdam,2020-04-25,6
Amsterdam,2020-04-26,7
Amsterdam,2020-04-27,8
Amsterdam,2020-04-28,8
Amsterdam,2020-04-29,8
Amsterdam,2020-04-30,7
Amsterdam,2020-05-01,7
Amsterdam,2020-05-02,6
Amsterdam,2020-05-03,8
Amsterdam,2020-05-04,10
Amsterdam,2020-05-05,9
Amsterdam,2020-05-06,9
Amsterdam,2020-05-07,8
Amsterdam,2020-05-08,9
Amsterdam,2020-05-09,9
Amsterdam,2020-05-10,7
Amsterdam,2020-05-11,10
Amsterdam,2020-05-12,9
Amsterdam,2020-05-13,10
Amsterdam,2020-05-14,9
Amsterdam,2020-05-15,8
Amsterdam,2020-05-16,8
Amsterdam,2020-05-17,9
Amsterdam,2020-05-18,10
Amsterdam,2020-05-19,12
Amsterdam,2020-05-20,13
Amsterdam,2020-05-21,15
Amsterdam,2020-05-22,10
Amsterdam,2020-05-23,9
Amsterdam,2020-05-24,8
Amsterdam,2020-05-25,12
